soție	soț	N	nevastă,soție	soț,partener	Femeie măritată consideratăîn raport cu bărbatul ei	(La pl.) Cele două persoane de sex opus unite prin căsătorie.	3.42	4.22
carte	text	N	carte	text	Diviziune mai mare decât un capitol a unei scrieri de proporții mari.	cuprinsul unei lucrări scrise (distinct de ilustrații, note de subsol etc.)	2.42	3.62
mire	mireasă	N	ginere,mire	mireasă	nume purtat de bărbat în ziua sau în preajma căsătoriei sale	Nume purtat de femeie în ziua sau în preajma căsătoriei sale	1.68	4.12
noapte	zi	N	întunecime,noapte	zi	Stare de tristețe, de suferință morală, de apăsare.;	(Astron.) Interval de timp între două culminații succesive ale unui astru	3.0	1.63
sud	nord	N	miazăzi,sud	miazănoapte,nord	Punct cardinal opus nordului, aflat în direcția în care se îndreaptă Soarele la amiază în emisfera nordică	Unul dintre cele patru puncte cardinale, aflat în direcția stelei polare	3.0	1.42
avion	aeroport	N	aeroplan,avion	aeroport	Vehicul aerian mai greu decât aerul, care se menține în aer datorită unor aripi și se deplasează cu ajutorul elicei și al motoarelor sau al reactoarelor;	Ansamblu constituit din terenul, clădirile și instalațiile necesare decolării, aterizării, manevrării, adăpostirii și întreținerii avioanelor.;	1.54	2.55
unchi	mătușă	N	unchi	mătușă,tanti	bărbat considerat în raport cu copiii fraților și surorilor sale, în raport cu copiii fraților și surorilor soției sale sau în raport cu copiii verilor și verișoarelor sale	sora tatălui sau a mamei unei persoane; (mai rar) verișoara unuia dintre părinți sau soția unchiului	2.42	3.37
cal	iapă	N	cabalină,cal	iapă	Animal domestic erbivor, cu copita nedespicată, folosit la călărie și la tracțiune	Femela calului	3.42	4.5
bază	vârf	N	bază,fund	vârf	partea de jos, dreaptă, pe care un obiect poate sta	Partea cea mai de sus (ascuțită) a unor obiecte înalte (case, copaci etc.) sau a anumitor forme de relief (deal, munte).	2.68	1.25
prieten	tovarăș	N	amic,prieten	însoțitor,companion,tovarăș	Persoană de care cineva este legat printr-o afecțiune deosebită, bazată pe încredere și stimă reciprocă, de ideii sau principii comune	Epitet dat unei ființe (de obicei animal) care însoțește pe cineva (în mod constant)	3.42	8.48
student	elev	N	student	elev	Persoană care urmează cursurile unei universități sau ale unui institut de învățământ superior.	Persoană care învață într-o instituție de învățământ	3.42	5.6
lume	planetă	N	cosmos,lume,univers	planetă	Totalitate a celor existente în realitate	Corp ceresc fără lumină proprie, satelit al Soarelui, care se vede pe cer sub forma unui punct luminos ca urmare a reflectării luminii solare	2.68	4.82
picior	braț	N	membru_inferior,picior	braț,mână	Fiecare dintre cele două membre inferioare ale corpului omenesc, de la șold până la vârful degetelor, și fiecare dintre membrele celorlalte viețuitoare, care servesc la susținerea corpului și la deplasarea în spațiu.	Segment cuprins între cot și umăr al membrului superior al corpului omenesc; partea de la umăr până la încheietura mâinii	3.0	1.45
femeie	bărbat	N	femeie,muiere	bărbat	Persoană adultă de sex feminin.	Persoană adultă de sex masculin.	3.0	2.02
cal	mânz	N	cal	mânz	Masculul speciei Equus caballus	Puiul (de sex masculin al) iepei	3.0	4.97
actriță	actor	N	actriță	actor	artistă în piese de teatru sau în filme	Artist care interpretează roluri în piese de teatru, în filme etc.;	3.42	4.18
profesor	instructor	N	dascăl,profesor	instructor	(prin generalizare) Persoană care îndrumă, educă, învață pe cineva.	Persoană competentă care instruiește pe alții.	2.0	5.92
film	peliculă	N	film,peliculă	film,peliculă	Gen de artă constând din realizarea și proiectarea pe un ecran cinematografic a unui film;	Gen de artă constând din realizarea și proiectarea pe un ecran cinematografic a unui film;	4.0	7.38
pasăre	șoim	N	pasăre	șoim	Clasă de vertebrate ovipare, cu corpul acoperit cu pene, cu aripi pentru zbor și cu fălcile acoperite cu formații cornoase; (și la sg.) animal din această clasă.;	Nume dat mai multor păsări răpitoare de zi, de mărime variată, agere și puternice, cu ciocul scurt și curbat și având câte o crestătură în formă de dinte, care se hrănesc cu pradă vie, mai ales cu păsări	3.0	4.08
